Name,Year_Built,Average_Rent_sf,lon,lat,GrvDemandWeight,GrvDemandWeight_10k
1200 LAKESHORE,1966,2.93,-122.258249,37.798679,228139,22.813907
15FIFTY5,1989,3.13,-122.0662942,37.9107588,104478,10.447841
200 DAVEY GLEN,1975,2.17,-122.285529,37.526152, , 
55 WEST 5TH APARTMENTS,1972,2.55,-122.326905,37.5599488, , 
55 WEST FIFTH APARTMENTS,1960,2.6,-122.325941,37.560681, , 
70 HARLAN,1974,2.18,-122.1500454,37.7194901,111513,11.151348
707 LEAHY,1973,3.58,-122.215235,37.470216, , 
88 HILLSIDE APARTMENTS,2008,2.48,-122.4622759,37.7039232, , 
888 SAN MATEO LUXURY APARTMENTS,2013,3.34,-122.338327,37.57697, , 
ACAPPELLA CROSSING,2009,3.45,-122.4225019,37.6327906, , 
ADRIENNE VILLAGE,1984,2.16,-122.072023,37.589906,83140,8.314032
ALAMEDA PARK,1963,2.17,-122.2799346,37.7781031,178392,17.83922
ALBORADA,1999,2.39,-121.9653865,37.5581684,67360,6.736007
ALDERWOOD,1972,1.89,-122.1147215,37.6967936,100398,10.039827
ALDERWOOD PARK,1986,2.39,-122.035265,37.529101,62044,6.204433
ALICE LAKE,1964,2.42,-122.265357,37.804842,253387,25.338715
ALLEGRO AT JACK LONDON SQUARE,2001,2.67,-122.2700637,37.7946894,220899,22.0899
ALOHA,1965,1.72,-122.0895513,37.6516899,103253,10.325349
ALPINE,1967,2.44,-122.098275,37.687341,100289,10.028897
ALPINE PARK,1992,2.57,-122.0642839,37.8934339,93524,9.352441
ALTERRA,1959,2.55,-122.066275,37.896361,96185,9.618488
AMADOR APARTMENTS,1965,2.08,-122.090313,37.654893,103560,10.356017
AMADOR LAKES,1985,2.33,-121.9237652,37.7265744,69145,6.914531
AMADOR VALLEY,1968,1.78,-121.9316485,37.7089414,74870,7.486978
AMADOR VILLAGE COURT,2000,2.03,-122.0942448,37.6610519,101018,10.10179
AMBER COURT,1985,2.47,-122.0435143,37.5768505,82015,8.201533
AMBERWOOD GARDEN,1988,1.75,-122.080188,37.645219,94855,9.485489
